ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31,Season
USC00272174,1929,6,WT09,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,Summer
USC00272174,1950,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Winter
USC00272999,1949,12,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,Winter
USC00272999,1950,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Winter
USC00272999,1950,3,WT09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,Spring
USC00272999,1950,4,WT09,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Spring
USC00272999,1950,11,WT09,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,Fall
USC00273850,1950,3,WT09,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Spring
USC00274399,1950,3,WT09,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USC00275211,1949,12,WT09,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Winter
USC00275211,1950,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Winter
USC00275211,1950,2,WT09,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,Winter
USC00275211,1950,3,WT09,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,Spring
USC00275211,1950,4,WT09,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Spring
USC00275211,1950,12,WT09,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,Winter
USC00276818,1949,12,WT09,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Winter
USC00276818,1950,1,WT09,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,Winter
USC00276818,1950,2,WT09,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Winter
USC00276818,1950,3,WT09,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,Spring
USC00276818,1952,1,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Winter
USW00014745,1948,2,WT09,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1949,3,WT09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,1950,3,WT09,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Spring
USW00014745,1951,2,WT09,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,Winter
USW00014745,1954,12,WT09,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Winter
USW00014745,1956,3,WT09,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,Spring
USW00014745,1957,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Winter
USW00014745,1958,1,WT09,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,Winter
USW00014745,1958,2,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Winter
USW00014745,1959,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,Winter
USW00014745,1959,3,WT09,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,Spring
USW00014745,1960,12,WT09,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1961,1,WT09,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Winter
USW00014745,1961,3,WT09,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,1961,4,WT09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,1962,2,WT09,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,Winter
USW00014745,1962,12,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Winter
USW00014745,1963,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,Winter
USW00014745,1964,1,WT09,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,Winter
USW00014745,1965,1,WT09,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,Winter
USW00014745,1965,2,WT09,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,Winter
USW00014745,1966,1,WT09,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,Winter
USW00014745,1966,2,WT09,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Winter
USW00014745,1966,3,WT09,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Spring
USW00014745,1966,5,WT09,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Spring
USW00014745,1967,2,WT09,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Winter
USW00014745,1967,11,WT09,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,Fall
USW00014745,1968,2,WT09,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1968,3,WT09,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,1969,1,WT09,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1969,2,WT09,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,Winter
USW00014745,1969,12,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Winter
USW00014745,1970,2,WT09,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1970,12,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,Winter
USW00014745,1971,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,Winter
USW00014745,1971,3,WT09,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,1971,11,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Fall
USW00014745,1972,2,WT09,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Winter
USW00014745,1976,3,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Spring
USW00014745,1976,12,WT09,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Winter
USW00014745,1977,1,WT09,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1977,12,WT09,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1978,1,WT09,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,Winter
USW00014745,1978,2,WT09,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1979,1,WT09,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Winter
USW00014745,1980,12,WT09,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1981,12,WT09,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,Winter
USW00014745,1982,1,WT09,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,Winter
USW00014745,1982,4,WT09,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,1983,12,WT09,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,Winter
USW00014745,1984,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Winter
USW00014745,1985,1,WT09,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Winter
USW00014745,1985,2,WT09,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1988,2,WT09,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1989,12,WT09,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,Winter
USW00014745,1991,1,WT09,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Winter
USW00014745,1992,1,WT09,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Winter
USW00014745,1993,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,Winter
USW00014745,1993,2,WT09,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1993,3,WT09,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,Spring
USW00014745,1993,12,WT09,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,Winter
USW00014745,1994,1,WT09,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1994,3,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Spring
USW00014745,1995,2,WT09,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1996,3,WT09,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,1997,12,WT09,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Winter
USW00014745,1998,12,WT09,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,Winter
USW00014745,1999,1,WT09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,1999,3,WT09,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,Spring
USW00014745,2000,1,WT09,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,Winter
USW00014745,2001,1,WT09,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2002,12,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Winter
USW00014745,2003,1,WT09,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,Winter
USW00014745,2003,2,WT09,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2004,12,WT09,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Winter
USW00014745,2005,1,WT09,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Winter
USW00014745,2005,3,WT09,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,2006,2,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Winter
USW00014745,2007,2,WT09,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,Winter
USW00014745,2007,12,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Winter
USW00014745,2008,2,WT09,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2008,3,WT09,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,Spring
USW00014745,2008,4,WT09,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,2008,5,WT09,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,2008,6,WT09,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,Summer
USW00014745,2008,7,WT09,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,Summer
USW00014745,2008,8,WT09,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,Summer
USW00014745,2008,9,WT09,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,Fall
USW00014745,2008,10,WT09,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,Fall
USW00014745,2008,11,WT09,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,Fall
USW00014745,2008,12,WT09,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,Winter
USW00014745,2009,1,WT09,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,Winter
USW00014745,2009,2,WT09,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,Winter
USW00014745,2009,3,WT09,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,Spring
USW00014745,2009,4,WT09,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,Spring
USW00014745,2009,5,WT09,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,Spring
USW00014745,2009,6,WT09,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,Summer
USW00014745,2009,7,WT09,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,Summer
USW00014745,2009,8,WT09,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,Summer
USW00014745,2009,9,WT09,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,,Fall
USW00014745,2009,10,WT09,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Fall
USW00014745,2009,11,WT09,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fall
USW00014745,2009,12,WT09,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,Winter
USW00014745,2010,1,WT09,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,Winter
USW00014745,2010,2,WT09,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,Winter
USW00014745,2010,4,WT09,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,2010,5,WT09,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,Spring
USW00014745,2010,6,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,Summer
USW00014745,2010,7,WT09,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,Summer
USW00014745,2010,8,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Summer
USW00014745,2010,9,WT09,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,Fall
USW00014745,2010,10,WT09,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,Fall
USW00014745,2010,12,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Winter
USW00014745,2011,1,WT09,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Winter
USW00014745,2011,3,WT09,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,2013,2,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Winter
USW00014745,2015,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Winter
USW00014745,2015,2,WT09,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,Winter
USW00014745,2016,1,WT09,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2016,12,WT09,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,Winter
USW00014745,2017,2,WT09,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2018,1,WT09,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2018,2,WT09,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2019,1,WT09,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Winter
USW00014745,2022,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,Winter
